topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
topic41,verhandl,streit,losung,kompromiss,seit,vorschlag,scheit,gemeinsam,forder,position,konflikt,gescheitert,treff,off,verhandeln,versuch,tisch,zugestandnis,lehnt,beweg,zustimm,widerstand,find,gest,beding,chanc,erzielt,durchbruch,such,verhandelt,druck,vertret,gefund,punkt,ergebnis,geeinigt,endgult,schwierig,droht,umstritt,hart,akzepti,sollt,grundsatz,klar,verzicht,wollt,fortschritt,plan,signalisiert,offenbar,letzt,strittig,verstand,haltung,ring,akzeptiert,interess,sicht,beginn,verhind,bereitschaft,vorgeschlag,bring,annaher,detail,differenz,ausgehandelt,zunach,einigt,erfolg,lehn,vermittl,auseinandersetz,abschluss,zeichnet,darub,verstandigt,gemacht,bemuh,kons,zeigt,ablehn,thema,hoff,konkret,front,lini,gegenseit,gegenzug,durchsetz,los,verlang,unterhandl,beigelegt,beend,weiterhin,einvernehm,gelost,setz
 ,0.047,0.028,0.026,0.019,0.018,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic42,sech,sieb,acht,zwolf,neun,setzt,zweit,erstmal,elf,dritt,knapp,erneut,innerhalb,zuvor,mindest,kam,bislang,letzt,fort,australi,fest,erreicht,stellt,ging,laut,trotz,vergang,neb,septemb,ziel,beginn,ebenfall,ausserd,zud,darunt,stell,jeweil,austral,nachd,zusamm,zufolg,legt,zunach,viert,ledig,nahm,stund,juli,danach,kundigt,oktob,juni,blieb,begonn,kommend,funft,gekomm,weiterhin,statt,hoch,folg,binn,gleichzeit,allein,bisher,stand,gegeb,bleib,reih,erreich,erhalt,gesamt,kurz,gefuhrt,teilt,genannt,phas,nah,jung,folgt,inzwisch,neuseeland,ubrig,beendet,dau,zahlreich,hervor,fuhrt,zuletzt,zugleich,geleg,bezeichnet,voll,genomm,angesicht,fortsetz,gesetzt,gebracht,weitgeh,gehor
 ,0.056,0.035,0.035,0.025,0.023,0.022,0.021,0.019,0.019,0.017,0.015,0.015,0.013,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic43,internet,onlin,kund,angebot,nutz,anbiet,dien,information,agentur,dat,servic,netz,werbung,aol,mail,elektron,dienstleist,million,bietet,googl,zugang,inhalt,web,telefon,commerc,produkt,seit,comput,nam,musik,schnell,adress,kostenlos,weltweit,direkt,yahoo,virtuell,biet,cd,plattform,business,firm,marketing,start,werb,wer,programm,firma,softwar,kommunikation,portal,geschaft,ebay,genannt,beispielsweis,verfug,kampagn,person,numm,digital,music,such,neb,cent,buch,vertrieb,beispiel,nutzung,fax,klassisch,amazon,erhalt,verkauf,aktuell,via,europ,datenbank,einfach,bestell,emi,meist,verschied,napst,bmg,speziell,multimedia,nachricht,anzeig,verbreit,surf,bislang,netzwerk,werbeagentur,medi,find,inzwisch,expert,startet,bekannt,zugriff
 ,0.052,0.025,0.021,0.015,0.014,0.01,0.009,0.009,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic44,parlament,partei,abgeordnet,opposition,mehrheit,ministerprasident,regierungschef,verfass,stimm,abstimm,minist,demokrat,koalition,kabinett,konservativ,sozialist,rucktritt,neuwahl,wahl,sozialdemokrat,vorsitz,kommunist,premi,amt,referendum,liberal,parlamentari,recht,stimmt,fraktion,gewahlt,staatsprasident,vertret,unterstutz,link,national,debatt,demokrati,sitz,reform,kongress,parlamentar,oppositionell,burg,parlamentswahl,bildung,bisher,christdemokrat,mandat,volksabstimm,mitglied,senat,gegn,kundigt,regierungspartei,vorgezog,oppositionspartei,auflos,nationalist,regierungsbild,gescheitert,bevolker,parlamentsprasident,neue_regierung,angekundigt,zustimm,versamml,ex,umstritt,koalitionspartn,abgelehnt,regierungskoalition,innenpolit,nein,entlass,premierminist,verfugt,abgeordnetenhaus,volkspartei,kris,neuen_regierung,ausgesproch,unabhang,amtier,oberst,votum,sitzung,bundnis,zuruckgetret,kamm,machtkampf,vertrau,sturz,verfassungsander,radikal,parteichef,amtszeit,aussenminist,minderheitsregier,oppositionsfuhr
 ,0.051,0.035,0.034,0.02,0.018,0.017,0.015,0.015,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic45,post,privat,offent,privatisier,staatlich,auftrag,erhalt,brief,wettbewerb,ausland,hochtief,vertrag,interess,bau,paket,logist,hand,bislang,vergeb,postbank,beteiligt,ausschreib,durft,vergab,bleib,bonn,privatisiert,zud,zunach,angebot,gehor,liberalisier,beteil,monopol,bereich,baukonz,ausserd,zustand,neb,zuschlag,deutsche_post,heisst,gesamt,vollstand,konsortium,plan,inzwisch,ubernehm,gehort,ebenfall,weiterhin,dhl,express,gilt,offnung,gefuhrt,bisher,off,entsprech,konkurrent,mindest,betreib,darub,lieg,konkurrenz,lang,deshalb,bleibt,dien,anfang,offenbach,gelb,besteh,leistung,zumwinkel,betont,abgeschloss,behalt,auftraggeb,bauunternehm,tatig,privatwirtschaft,gemacht,bring,verwalt,laut,strabag,innerhalb,bestatigt,deutschen_post,allein,direkt,staatsunternehm,kuhn,ups,einfluss,ledig,gegeb,erheb,stell
 ,0.037,0.03,0.028,0.022,0.019,0.017,0.011,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic46,britisch,london,grossbritanni,blair,brit,pfund,labour,konservativ,nordirland,irisch,england,irland,the,protestant,of,financial_times,bbc,tony_blair,belfast,tim,partei,englisch,dublin,penc,millionen_pfund,sinn_fein,schreibt,kathol,gest,britische_regierung,prinz,fuhr,plc,gemacht,nordir,lb,clark,premierminist,milliarden_pfund,lloyd,jung,insel,premi,and,national,sir,unterhaus,trimbl,daily_telegraph,scotland,konigin,schatzkanzl,fuhrend,nachd,barclays,georg,nah,druck,party,plan,lord,zuvor,friedensprozess,sinn,beginn,unionist,premierminister_tony_blair,erklar,british,zukunft,the_times,city,guardian,gordon_brown,schottland,waff,mai,bekannt,wahrschein,grupp,letzt,innerhalb,pro,juli,kommentiert,britische_premierminister_tony_blair,konigreich,schottisch,eurotunnel,bezeichnet,mitglied,republikan,the_guardian,bring,unterstutz,vertret,minist,cook,queen,independent
 ,0.087,0.082,0.043,0.018,0.015,0.01,0.01,0.009,0.009,0.008,0.008,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic47,frau,kind,famili,alt,mann,jahrig,leb,vat,mensch,jung,mutt,sohn,elt,haus,arbeit,jugend,ehe,tod,madch,behindert,lebt,brud,person,gebor,beruf,gesellschaft,oft,meist,paar,erwachs,besond,tocht,angehor,geburt,haufig,betreu,ministerin,ehefrau,verwandt,generation,erzieh,hilf,schwer,verheiratet,bekomm,gehort,sexuell,senior,allein,sozial,weiblich,ley,arbeitet,recht,zweit,gleich,schwest,helf,familienpolit,erfahr,bild,ehepaar,freund,gestorb,opf,schutz,gemeinsam,erb,politikerin,freiwill,mannlich,dritt,unterhalt,heim,kinderbetreu,ehemann,lebend,wunsch,reich,zusamm,korp,lang,krank,gewalt,anspruch,kam,arm,nehm,gesund,nolt,wohnung,verlass,bleib,betroff,schul,kindergart,ehrenamt,danach,scheidung,kumm
 ,0.073,0.062,0.039,0.031,0.03,0.019,0.018,0.016,0.013,0.013,0.013,0.012,0.012,0.009,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic48,geschaft,handel,mark,umsatz,einzelhandel,dusseldorf,kund,verkauf,quell,metro,karstadt,koln,filial,grupp,handl,lad,hamburg,verkauft,produkt,einkauf,verbrauch,kett,uhr,geschaftsfuhr,discount,mod,einzelhandl,rew,warenhaus,wal,hde,branch,supermarkt,mart,schuh,beiersdorf,setzt,spar,tchibo,ess,kaufhaus,eroffnet,preis,weihnachtsgeschaft,aldi,gehor,angebot,sortiment,neb,sixt,kauf,lang,konz,vergangenen_jahr,kaufhof,nam,karstadtquell,eroffn,trend,offnungszeit,kamps,unilev,boss,design,hauptverband,haus,edeka,wella,expansion,erzielt,ladenschluss,zud,praktik,handelskonz,plus,korb,kosmet,kaffe,deutschen_einzelhandels,kollektion,berichtet,lidl,franchis,konsument,lebensmittel,schmuck,marketing,douglas,baumarkt,inzwisch,bekleid,artikel,laut,betreibt,tocht,real,versandhandel,gehort,lieferant,salamand
 ,0.016,0.014,0.014,0.012,0.011,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic49,schiff,norweg,boot,haf,kilomet,met,danisch,wass,meer,kust,katastroph,danemark,bord,kopenhag,schad,insel,mensch,gebiet,nord,schwer,lang,oslo,nah,region,see,bruck,entfernt,marin,tonn,sud,greenpeac,fluss,ungluck,bau,inseln,ostse,contain,gebracht,bod,gefahr,betroff,behord,tief,reederei,liegt,stund,zerstort,gebaut,fahr,arbeit,ort,leb,island,flut,flott,hundert,nordlich,richtung,fracht,expert,erdbeb,nordse,hilf,sudlich,schwed,gekomm,kam,grenz,sech,hochwass,mittelme,erd,besatz,gewass,reed,tausend,zustand,dan,kursk,zwolf,such,entdeckt,berichtet,fahrt,kanal,ursach,flagg,gehort,tank,vermut,uberleb,unfall,tot,riesig,vollig,breit,zunach,bedroht,acht,bild
 ,0.016,0.014,0.012,0.01,0.009,0.009,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic50,manag,mitarbeit,berat,management,firm,erfolg,strategi,erfolgreich,geschaft,schnell,gerad,gewinn,firma,meist,oft,beispiel,geld,branch,partn,top,erfahr,arbeit,best,konzern,such,kommt,bess,unternehmensberat,kaum,gilt,inzwisch,richtig,konkurrenz,chanc,haufig,fuhrungskraft,verdi,ziel,schwierig,allein,eher,deshalb,zukunft,klar,strateg,ide,global,imag,arbeitet,mittlerweil,qualitat,find,zahlt,wettbewerb,business,team,anfang,hart,thema,bring,jung,setzt,schliesslich,klein,uberzeugt,lasst,einfach,haus,gehort,setz,sucht,genug,kolleg,heisst,vergang,verdient,vorteil,hoch,klassisch,lang,seh,liegt,gleich,gemacht,zusamm,selt,expert,glaubt,beispielsweis,job,sogar,schlecht,zeigt,etabliert,vergangenen_jahren,schafft,meint,besond,fehl,konzept
 ,0.02,0.014,0.011,0.01,0.01,0.01,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic51,gewerkschaft,arbeitgeb,streik,ig_metall,beschaftigt,metall,stund,arbeit,tarifvertrag,betrieb,arbeitnehm,dgb,lohn,arbeitszeit,ver,forder,vorsitz,ig,di,abschluss,otv,gehalt,angebot,dag,öffentlichen_dienst,angestellt,tarifverhandl,verhandl,warnstreik,tarifrund,verdi,tarif,mitglied,arbeitskampf,arbeitgeberverband,vereinbart,tarifpolit,betriebsrat,tarifpartei,vereinbar,tarifabschluss,hbv,gesamtmetall,gdl,zwickel,bündnis_für_arbeit,verhandlungsfuhr,frankfurt,stuttgart,arbeitsplatz,branch,mitbestimm,lohnerhoh,tarifkonflikt,metallindustri,ergebnis,urabstimm,erhoh,elektroindustri,chemi,lohnfortzahl,uberstund,druck,bundesweit,ig_bau,lang,ausstand,verlangt,bundnis,beginn,mai,flachentarifvertrag,main,einkomm,regel,tarifpartn,ig_medien,öffentlichen_dienstes,bad,westdeutsch,verhandlungsrund,arbeitszeitverkurz,voll,altersteilzeit,hannov,flexibl,dienstleistungsgewerkschaft,fortgesetzt,laufzeit,durchsetz,gefordert,beteiligt,mitarbeit,prozent_mehr_lohn,weihnachtsgeld,tarifkommission,sollt,kundigt,stumpf,erhalt
 ,0.058,0.027,0.019,0.019,0.019,0.014,0.013,0.012,0.012,0.011,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
topic52,rent,beitrag,alt,beamt,riest,arbeitnehm,leistung,gesetz,rentn,rentenversicher,pflegeversicher,privat,reform,rentenreform,erhoh,zusatz,vorschlag,altersvorsorg,plan,blum,erhalt,modell,arbeitgeb,steig,einkomm,sozial,vorsorg,betrieb,finanzier,anspruch,beitragssatz,belast,gefordert,pfleg,forder,sozialversicher,bundesregier,altersversorg,konzept,anheb,sollt,versichert,jahrlich,staatlich,voll,langfrist,rentenkass,bezug,gehalt,feiertag,sozialpolit,entsprech,pension,statt,finanziell,rentenbeitrag,entlast,einfuhr,rurup,kurzung,beitragszahl,wer,lang,koalition,jung,prozentpunkt,spar,ausgleich,regel,zukunft,bleib,finanziert,vorzeit,berechn,burg,angestellt,demograph,ruhestand,erhoht,diat,arbeit,syst,gezahlt,gering,heutig,dadurch,angehob,steigend,allein,freiwill,lohn,kost,last,krankenversicher,einschnitt,schrittweis,bisher,finanzi,niedrig,verzicht
 ,0.026,0.019,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic53,kris,kaum,druck,durft,problem,schwer,folg,angesicht,schnell,gefahr,gerat,schlecht,schwierig,droht,tief,deshalb,lang,kommt,hart,situation,bleibt,massiv,wohl,sogar,ohnehin,trotz,dramat,verlor,scheint,hoffnung,sorg,probl,zumind,allein,furcht,gerad,schwach,dennoch,inzwisch,tatsach,bald,befurcht,unsich,verli,angst,wach,schlimm,steckt,droh,dah,spur,bring,bislang,wahrschein,jung,offenbar,zunehm,lasst,zieh,expert,vertrau,seh,sicht,gest,genug,drastisch,rasch,drohend,bleib,fehl,gar,hoch,obwohl,langsam,bilanz,geword,risiko,leid,dau,immerhin,vorbei,warn,wart,furchtet,glaubt,fraglich,ahnlich,schliesslich,vergang,enorm,ungewiss,herrscht,hangt,trifft,meist,leidet,los,eigent,vermut,hoff
 ,0.025,0.014,0.014,0.014,0.013,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic54,wachstum,konjunktur,ruckgang,anstieg,gestieg,prognos,aufschwung,entwickl,gegenub,plus,erwart,export,durft,leicht,real,institut,ifo,schwach,wirtschaftswachstum,statist,niedrig,kraftig,konjunkturell,bip,stieg,erhol,bruttoinlandsprodukt,gesunk,rezession,durchschnitt,minus,steigend,rechn,nachfrag,okonom,rechnet,steig,zuwach,industri,sogar,vorjahr,gering,diw,positiv,investition,verbrauch,anhalt,einschatz,beleb,erreicht,volkswirt,sank,zunahm,konsum,erhoht,vormonat,expert,prognostiziert,gunstig,prozentpunkt,weltwirtschaft,trotz,niveau,arbeitsmarkt,dat,ausfuhr,kommenden_jahr,oecd,rucklauf,ging,wachstumsrat,gerechnet,quartal,sinkend,zuruckgegang,zunehm,optimist,schatzung,vergleich,inflation,inflationsrat,unt,wachs,volkswirtschaft,auftragseingang,sink,ersten_quartal,langsam,april,weiterhin,moderat,juli,septemb,dynam,verzeichnet,indikator,wiesbad,oben,trend,abschwach
 ,0.016,0.012,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic55,vorwurf,ermittl,staatsanwaltschaft,verdacht,affar,behord,stasi,mitarbeit,ehemal,ausschuss,untersuchungsausschuss,akt,aufklar,zusammenhang,ermittelt,skandal,spend,geheimdien,angeb,damal,person,ex,unterlag,aussag,information,bnd,untersuch,bekannt,hinweis,vorgang,beamt,korruption,offent,geld,nam,geheim,illegal,kontakt,informiert,zeug,bestech,vernehm,staatsanwalt,bestatigt,dokument,ddr,kont,ermittlungsverfahr,millionen_mark,eingeleitet,vorgeworf,schad,verfahr,erhalt,betrug,firma,agent,erkenntnis,gewusst,beschuldigt,gegeb,tatig,gerat,justiz,augsburg,cia,falsch,erhob,koln,bericht,munch,schmiergeld,offenbar,journalist,anzeig,durchsuch,zustand,material,inzwisch,auftrag,wiss,verwickelt,anwalt,manag,durchsucht,gehabt,gauck,zahlung,beweis,verstoss,strauss,ministerium,anonym,bestritt,untreu,darstell,moglicherweis,steuerhinterzieh,parlamentar,kiep
 ,0.017,0.016,0.014,0.014,0.014,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic56,hiess,abend,zunach,berat,zuvor,uhr,stund,morg,erneut,sitzung,uberblick,kreis,bekannt,bestatigt,offenbar,gegeb,treff,nachmittag,offiziell,samstag,teilt,erklar,wollt,unterdess,angekundigt,nachd,liby,spat,einzel,verlautet,beginn,berichtet,unklar,moglicherweis,wochen,information,informiert,fortgesetzt,vertret,gekomm,pressekonferenz,woll,getroff,unmittelbar,vormittag,mittag,begonn,vortag,anschliess,nacht,sprecherin,aufgenomm,mitteil,zusamm,nah,mitgeteilt,uberrasch,gesproch,beendet,danach,minut,sofort,vergangenen_woche,blieb,bestat,libysch,ledig,stand,meldet,verlass,detail,unterbroch,traf,dienstagab,gebracht,darub,auss,mittwochab,montagab,ebenfall,zweite_zusammenfassung,zeitpunkt,journalist,daraufhin,vernehm,abgelehnt,verlauf,stellungnahm,gaddafi,informi,voraussicht,wahrschein,sollt,termin,gerechnet,donnerstagab,vergangenen_tagen,sprach,genannt,kommenden_woche
